timestamp,name,symbol,price_usd,high,low,chg_,chg_%,vol_,time
2025-10-14 14:00:00,3M,,151.1,152.43,150.42,2.35,1.58,2720000.0,13/10
2025-10-14 14:00:00,Apple,AAPL,247.66,249.69,245.56,2.39,0.97,38140000.0,13/10
2025-10-14 14:00:00,Goldman Sachs,,786.78,791.05,777.88,22.42,2.93,2770000.0,13/10
2025-10-14 14:00:00,Chevron,CVX,151.94,151.98,149.43,3.04,2.04,5980000.0,13/10
2025-10-14 14:00:00,Microsoft,MSFT,514.05,516.41,511.68,3.09,0.60,14280000.0,13/10
2025-10-14 14:00:00,McDonald’s,,300.11,300.42,294.0,3.1,1.04,3370000.0,13/10
2025-10-14 14:00:00,Home Depot,,379.37,382.31,377.19,3.62,0.96,2930000.0,13/10
2025-10-14 14:00:00,Amazon.com,AMZN,220.07,220.68,217.04,3.7,1.71,37810000.0,13/10
2025-10-14 14:00:00,J&amp;J,,190.9,191.3,189.28,0.18,0.09,7980000.0,13/10
2025-10-14 14:00:00,Sherwin-Williams,,332.16,333.98,329.45,-0.65,-0.20,1700000.0,13/10
